år,region,inkomst,arbetslösa,befolkning,arbetslöshet,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljöpartiet,Socialdemokraterna,Vänsterpartiet,Sverigedemokraterna,övriga partier
2010,Åtvidaberg,169.7,326,11504,2.83379694,25.2,8.2,4.8,5.1,5.2,41.4,4.4,5,0.6
2010,Finspång,185.7,524,20747,2.525666361,22.2,5.6,4.6,5.8,5.8,43.9,6.1,5.3,0.7
2010,Valdemarsvik,163.3,194,7760,2.5,26.2,11.9,4.2,5.2,4.4,37,4.1,6.4,0.6
2010,Linköping,183.6,3765,146416,2.57144028,30.6,6.3,8.8,6.4,9.4,27.6,4.7,4.5,1.7
2010,Norrköping,174.3,4276,130050,3.287966167,30.2,4.7,6,5.2,7.9,32.5,5.7,6.1,1.8
2010,Söderköping,178.3,267,14024,1.903879064,33.7,10,5.9,6.6,7.1,26.2,4.2,5,1.3
2010,Motala,171.2,1326,41955,3.160529138,24,4.6,6.2,4.6,5.2,42.9,5.5,5.7,1.3
2010,Vadstena,180.9,167,7391,2.259504803,31.1,6.2,6.8,6.7,6.6,32.9,3.9,5,0.9
2010,Mjölby,172,762,25856,2.947091584,26,6.8,6.4,5.7,5.8,37.8,5.1,4.8,1.6
2010,Aneby,166.8,148,6393,2.315032066,22.6,12.3,5,17.7,4.6,26.6,3,7.6,0.6
2010,Gnosjö,177.4,336,9546,3.519798869,25.3,7.9,4.8,19.1,2.9,29.6,2.7,7,0.8
2010,Mullsjö,171.3,184,7033,2.616237736,25.6,5,5.2,18.8,5.8,27.8,4.8,6.1,0.9
2010,Habo,178.6,169,10741,1.573410297,30.3,5.5,6,16.3,5.2,27,3.1,6.1,0.5
2010,Gislaved,173.2,1110,29111,3.812991653,28.4,9.7,5.3,7.6,3.9,34.4,2.9,7.2,0.6
2010,Vaggeryd,171.8,389,12991,2.994380725,24.6,7.8,4.4,14.8,3.6,33.3,3.3,7.4,0.7
2010,Jönköping,182.8,3042,127382,2.388092509,27.9,5.3,6.3,13.5,6.4,29.5,4.8,5.5,0.8
2010,Nässjö,170.4,749,29339,2.552915914,24.1,7,4.9,11,5.2,34.4,5,7.7,0.7
2010,Värnamo,181.9,1034,32833,3.149270551,25.1,11.7,4.7,12.6,4.3,31.4,2.9,6.6,0.5
2010,Sävsjö,159.8,260,10830,2.400738689,25,12.3,4.4,17.7,2.8,25.3,3,9.2,0.3
2010,Vetlanda,171.7,587,26304,2.231599757,25.3,11.4,5.5,11.3,4.5,30.4,4.3,6.6,0.6
2010,Eksjö,180.5,292,16244,1.797586801,28.6,11.1,6,11.2,5.2,27.7,3.6,5.8,0.7
2010,Tranås,169.7,509,18119,2.809205806,26.8,6.4,5.4,9.6,6.3,34.8,3.9,6.4,0.5
2010,Uppvidinge,161.9,217,9244,2.347468628,25.6,14.3,4,5.3,3.7,32.6,5,9.1,0.4
2010,Lessebo,160.6,293,8139,3.599950854,24.1,7.5,4.4,3,5.7,41.6,5.7,7.6,0.4
2010,Tingsryd,163.3,278,12231,2.27291309,30.4,15.3,4,5.8,3.8,29.4,3.5,7.3,0.5
2010,Alvesta,168.1,541,18802,2.877353473,30.3,11.2,4.7,5.4,4.3,31,4.5,7.8,0.8
2010,Älmhult,185.3,301,15603,1.929116196,29.9,11,4.8,5.9,5.5,31.5,3.3,7.3,0.9
2010,Markaryd,159.7,287,9619,2.983678137,27.4,9.6,3.5,10.1,3.6,33.2,2.8,9.2,0.6
2010,Växjö,180.9,2540,83005,3.060056623,31.6,7.5,7.1,5.9,7.7,28.8,5.2,5.1,1
2010,Ljungby,174.2,865,27297,3.168846393,27.9,12.8,5.1,7.1,5.1,30.7,4.3,6.1,0.9
2010,Högsby,149.7,162,5777,2.804223645,21.3,11.3,3.4,6.1,3.7,41.3,4.3,7.5,1.1
2010,Torsås,156.7,227,6962,3.260557311,25.3,14.5,3.6,6,4.6,34,3.8,7.2,0.8
2010,Mörbylånga,173.9,299,14021,2.132515512,31.2,11,5.8,6.5,6.3,28.1,4.3,5.9,0.9
2010,Hultsfred,158.9,417,13696,3.044684579,20.7,11.7,3.7,8.6,4,39.1,5.4,6.1,0.8
2010,Mönsterås,176.8,417,12909,3.230304439,23.1,10.4,4.3,5.6,4.4,39.4,5.4,6.6,0.9
2010,Emmaboda,175.5,235,9187,2.557962338,23.6,11.1,3,5.3,4.7,40.3,5.2,5.8,1.1
2010,Kalmar,180.4,1717,62815,2.733423545,29.7,6.5,6.2,5.5,7.9,32.9,4.8,5.4,1.1
2010,Nybro,164.8,535,19651,2.72250776,24.5,9.9,3.6,6.1,4,38.6,6.1,5.8,1.4
2010,Oskarshamn,191.8,576,26163,2.201582387,27.7,4.9,5.7,7.3,4.2,37.2,5.7,6.2,1
